timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1646862482999,3017,HTTP Request,200,OK,Thread Group 1-1,text,true,,593,143,5,5,http://17645-team23.isri.cmu.edu:8080/recommend/1,3017,0,11
1646862483002,3062,HTTP Request,200,OK,Thread Group 1-4,text,true,,577,143,5,5,http://17645-team23.isri.cmu.edu:8080/recommend/1,3062,0,8
1646862483000,3146,HTTP Request,200,OK,Thread Group 1-3,text,true,,548,143,5,5,http://17645-team23.isri.cmu.edu:8080/recommend/1,3146,0,10
1646862482997,3399,HTTP Request,200,OK,Thread Group 1-2,text,true,,575,143,5,5,http://17645-team23.isri.cmu.edu:8080/recommend/1,3398,0,13
1646862483002,3575,HTTP Request,200,OK,Thread Group 1-5,text,true,,566,143,5,5,http://17645-team23.isri.cmu.edu:8080/recommend/1,3575,0,8
1646862486017,2883,HTTP Request,200,OK,Thread Group 1-1,text,true,,604,144,5,5,http://17645-team23.isri.cmu.edu:8080/recommend/10,2883,0,3
1646862486146,2838,HTTP Request,200,OK,Thread Group 1-3,text,true,,556,144,5,5,http://17645-team23.isri.cmu.edu:8080/recommend/10,2838,0,3
1646862486065,3429,HTTP Request,200,OK,Thread Group 1-4,text,true,,537,144,5,5,http://17645-team23.isri.cmu.edu:8080/recommend/10,3429,0,3
1646862486398,3650,HTTP Request,200,OK,Thread Group 1-2,text,true,,605,144,5,5,http://17645-team23.isri.cmu.edu:8080/recommend/10,3650,0,6
1646862486577,3473,HTTP Request,200,OK,Thread Group 1-5,text,true,,550,144,5,5,http://17645-team23.isri.cmu.edu:8080/recommend/10,3473,0,4
1646862488985,1931,HTTP Request,200,OK,Thread Group 1-3,text,true,,617,145,5,5,http://17645-team23.isri.cmu.edu:8080/recommend/100,1930,0,2
1646862488900,2030,HTTP Request,200,OK,Thread Group 1-1,text,true,,617,145,5,5,http://17645-team23.isri.cmu.edu:8080/recommend/100,2030,0,3
1646862489494,2060,HTTP Request,200,OK,Thread Group 1-4,text,true,,617,145,5,5,http://17645-team23.isri.cmu.edu:8080/recommend/100,2059,0,3
1646862490049,1554,HTTP Request,200,OK,Thread Group 1-2,text,true,,617,145,5,5,http://17645-team23.isri.cmu.edu:8080/recommend/100,1554,0,2
1646862490051,1695,HTTP Request,200,OK,Thread Group 1-5,text,true,,617,145,5,5,http://17645-team23.isri.cmu.edu:8080/recommend/100,1695,0,4
1646862490931,3182,HTTP Request,200,OK,Thread Group 1-1,text,true,,537,146,5,5,http://17645-team23.isri.cmu.edu:8080/recommend/1000,3182,0,4
1646862491602,2759,HTTP Request,200,OK,Thread Group 1-2,text,true,,632,146,5,5,http://17645-team23.isri.cmu.edu:8080/recommend/1000,2759,0,3
1646862490915,4050,HTTP Request,200,OK,Thread Group 1-3,text,true,,580,146,5,5,http://17645-team23.isri.cmu.edu:8080/recommend/1000,4050,0,3
1646862491555,3778,HTTP Request,200,OK,Thread Group 1-4,text,true,,612,146,5,5,http://17645-team23.isri.cmu.edu:8080/recommend/1000,3778,0,4
1646862491746,4196,HTTP Request,200,OK,Thread Group 1-5,text,true,,543,146,5,5,http://17645-team23.isri.cmu.edu:8080/recommend/1000,4196,0,2
1646862494362,2570,HTTP Request,200,OK,Thread Group 1-2,text,true,,534,147,5,5,http://17645-team23.isri.cmu.edu:8080/recommend/10000,2570,0,3
